Word,Count
b'souls',2
b'deserves',1
b'doctors',1
b'achieve',3
b'Here',1
b'market',1
b'have',49
b'keep',6
b'them',10
b'will',56
b'Antonin',1
b'8',1
b'Task',2
b'put',2
b'Gorsuch',1
b'miracles',2
b'maybe',1
b'unbreakable',1
b'For',3
b'stock',1
b'principle',1
b'unlimited',1
b'Boston',1
b'100',1
b'means',1
b'etched',1
b'foreign',6
b'extinguish',1
b'every',8
b'billion',1
b'new',18
b'plagued',1
b'girl',1
b'persons',1
b'men',5
b'happy',2
b'drain',1
b'improved',1
b'trillion',4
b'earthquake',1
b'Arizona',1
b'Ford',1
b'last',6
b'leave',4
b'strategy',1
b'goods',2
b'eliminated',1
b'built',1
b'with',32
b'Inauguration',1
b'Administration',1
b'Abraham',1
b'rebuild',1
b'richly',1
b'program\xe2\x80\x94the',1
b'circumstances',1
b'Israel',1
b'Vice',1
b'far',3
b'rebuilding',3
b'freeze',1
b'triple',1
b'ground',1
b'relief',1
b'enemy',2
b'just',14
b'thank',2
b'Since',1
b'pen',1
b'necessity',1
b'terrible',3
b'accessible',1
b'enforcing',1
b'tax',6
b'joined',2
b'of',149
b'chaos',1
b'income',1
b'1',2
b'sure',1
b'Detroit',1
b'third',1
b'Every',2
b'Muslims',1
b'Maureen',2
b'water',1
b'coordinate',1
b'fear',1
b'premiums',1
b'Softbank',1
b'taken',2
b'before\xe2\x80\x94for',1
b'financially',1
b'express',1
b'win',1
b'Bad',1
b'milestones',1
b'Members',2
b'fantastic\xe2\x80\x94and',1
b'diagnosed',1
b'Highway',1
b'safe',5
b'accomplish',1
b'lines',1
b'potential',1
b'cities',3
b'procedures',1
b'slash',1
b'could',3
b'Nation',9
b'livelihood',1
b'colors',1
b'best',1
b'A',2
b'3',1
b'heroes',1
b'series',1
b'longer',2
b'create',7
b'uncontrolled',1
b'its',14
b'Lincoln',2
b'Susan',4
b'pure',1
b'effort',2
b'combined',1
b'US',1
b'father',2
b'centers',1
b'Thank',7
b'see',2
b'nice',1
b'proper',1
b'strategic',1
b'calls',2
b'concerns',1
b'acceptable',1
b'drug',3
b'plan',4
b'Disease',1
b'robust',1
b'salute',1
b'succeed',1
b'prior',1
b'capital\xe2\x80\x94creating',1
b'seeking',1
b'Justin',1
b'your',4
b'education',1
b'principles',2
b'These',2
b'Jenna',4
b'confirmed',1
b'African',1
b'lived',1
b'undertaken',1
b'Supreme',1
b'fight',2
b'singleyear',1
b'husbands',1
b'losing',2
b'5year',1
b'France',1
b'disease',2
b'parties',2
b'meaningful',2
b'burdened',1
b'always',2
b'Constitution',1
b'closest',1
b'sending',1
b'benefits',1
b'like',5
b'Violent',1
b'shortly',1
b'hearts',1
b'quote\xe2\x80\x94Ryan',1
b'mission',1
b'Day',1
b'act',2
b'feet',1
b'months',1
b'unbounded',1
b'institutions',1
b'abandonment',1
b'mainly',1
b'Jr',1
b'invest',2
b'buy',2
b'companies',7
b'justice',3
b'indeed',1
b'deep',1
b'cartels',1
b'Joining',2
b'restart',1
b'Rare',1
b'supporting',1
b'line',1
b'reckless',1
b'nations',5
b'future',8
b'attend',1
b'State',5
b'optimism',1
b'unadulterated',1
b'pass',1
b'fathers',2
b'dollars',7
b'showed',2
b'more',13
b'8\xe2\x80\x94a',1
b'Navy',1
b'honored',1
b'65',1
b'do',10
b'light',2
b'judges',1
b'warriors',1
b'he',6
b'Hopefully',1
b'never',6
b'bound',1
b'threaten',2
b'doing',2
b'anywhere',2
b'international',1
b'on',27
b'value',1
b'enforcement',3
b'take',4
b'Jewish',2
b'negotiate',1
b'communism',1
b'swamp',1
b'question',1
b'obligation',1
b'cleared',1
b'nonessential',1
b'friend',2
b'Latino',1
b'cold',1
b'No',2
b'Partnership',1
b'fears',1
b'defended',1
b'pillars',1
b'long',7
b'ever',2
b'beneath',1
b'California',1
b'problems',1
b'while',4
b'100th',1
b'ensure',3
b'taxpayers',3
b'gunned',1
b'Shaw',2
b'dealers',1
b'forced',1
b'What',3
b'access',4
b'reaffirmed',1
b'three',1
b'placing',1
b'20',2
b'complaining',1
b'money',1
b'increases',1
b'died',1
b'Engagement',1
b'unity',1
b'after',1
b'five',1
b'policy',3
b'miners',1
b'ordered',2
b'overcome',1
b'World',2
b'things',2
b'My',5
b'one',14
b'Switching',1
b'Your',1
b'coal',1
b'side',1
b'slow',2
b'gallery',3
b'prevent',1
b'fill',2
b'watched',1
b'Applause',2
b'now\xe2\x80\x94you',1
b'extremists',1
b'shooting',1
b'increase',3
b'nationwide',1
b'duty',1
b'trust',1
b'speak',2
b'creeds',1
b'now',11
b'little',1
b'poorest',2
b'return',1
b'Dwight',1
b'produce',1
b'made',6
b'resources',3
b'deregulation',1
b'am',13
b'Thirdly',1
b'insurer',1
b'largest',2
b'As',4
b'factories',1
b'currently',1
b'party',1
b'that',61
b'been',9
b'wherever',1
b'easier',1
b'greatness',2
b'process',2
b'went',1
b'simple',1
b'typewriter',1
b'electric',2
b'moment',2
b'air',1
b'hate',1
b'China',1
b'decades',3
b'Over',1
b'National',2
b'ride',1
b'Later',1
b'former',1
b'majority',1
b'flexibility',1
b'Appeals',1
b'116',1
b'digits',1
b'harder',1
b'gang',2
b'infrastructure',6
b'Ryans',1
b'beachhead',1
b'remains',1
b'lower',3
b'adopting',1
b'still',1
b'challenge',1
b'because',4
b'displayed',2
b'women',5
b'God',3
b'independence',1
b'spending',1
b'partners\xe2\x80\x94whether',1
b'From',1
b'taxed',2
b'yes',1
b'reduce',2
b'building',1
b'care',5
b'or',7
b'operations',1
b'class',3
b'finally',3
b'It',6
b'Believe',1
b'serious',1
b'Her',1
b'join',2
b'onefourth',1
b'collapsing',2
b'this',23
b'enforce',2
b'Dying',1
b'these',3
b'excelled',1
b'voice',1
b'agency',1
b'enemies',1
b'available',1
b'fulfill',1
b'million',3
b'law',4
b'were',7
b'start',1
b'Democrats',3
b'purchase',2
b'within',1
b'borders',4
b'since',7
b'Earth',1
b'builders',1
b'convicted',1
b'financial',3
b'common',2
b'ought',1
b'learning\xe2\x80\x94great',1
b'Philadelphia',1
b'office',2
b'failing',1
b'planet',1
b'They',8
b'directive',1
b'To',6
b'Pompe',1
b'then',5
b'loud',1
b'produces',1
b'chance',1
b'inside',2
b'ignored',2
b'braver',1
b'shifted',1
b'tonight',10
b'bonds',1
b'Their',2
b'audience',2
b'Free',1
b'twice',2
b'frank',1
b'alliance',2
b'founding',1
b'share',3
b'cut',1
b'skill',1
b'crumbling',1
b'change',1
b'getting',1
b'discussions',1
b'answered',1
b'aggressive',1
b'exported',1
b'Each',1
b'removing',1
b'all',32
b'civil',2
b'workers\xe2\x80\x94have',1
b'Islamic',1
b'viciously',2
b'it',11
b'kind',2
b'month',1
b'make',6
b'among',1
b'worst',1
b'raise',2
b'united',2
b'requires',1
b'founded',1
b'hundreds',1
b'hurting',1
b'front',1
b'nearly',3
b'illnesses',1
b'member',1
b'That',2
b'distant',1
b'Republicans',3
b'jet',1
b'loses',1
b'must',20
b'families\xe2\x80\x94including',1
b'compassionate',1
b'happen',1
b'Middle',2
b'that\xe2\x80\x94and',2
b'unprecedented',1
b'Ryan',5
b'quickly',1
b'work',10
b'possible',1
b'inspired',1
b'successful',1
b'exchanges',1
b'ability',1
b'problem',1
b'Jamiel',4
b'reminded',1
b'Keystone',1
b'conflict',2
b'enroll',1
b'regulations',3
b'become',4
b'doubts',1
b'youth',2
b'reconfirmed',1
b'fantastic\xe2\x80\x94new',1
b'represent',2
b'names',1
b'hopes',2
b'another',2
b'werent',1
b'words',1
b'child',4
b'Owens',2
b'disunity',1
b'history',4
b'young',3
b'John',1
b'me',2
b'next',1
b'roads',1
b'sanctions',1
b'back',3
b'me\xe2\x80\x94without',1
b'fixed',1
b'Motors',1
b'Director',1
b'called',1
b'children',8
b'dethroned',1
b'society',1
b'Black',1
b'vandalism',1
b'believe',6
b'obligations',1
b'improve',1
b'lawn',1
b'poisoning',1
b'targeting',1
b'define',1
b'delivered',2
b'grade',1
b'meeting',1
b'environment',1
b'let',1
b'her',3
b'give',3
b'generation',1
b'out',8
b'theyre',1
b'chapter',2
b'shot',2
b'doctor',1
b'degree',1
b'artificially',1
b'and',189
b'other',8
b'tens',3
b'own',4
b'President',3
b'centennial',1
b'fighter',1
b'seat',1
b'murdered',1
b'Kentucky\xe2\x80\x94and',1
b'pleas',1
b'build',1
b'widow',1
b'prime',1
b'struggling',1
b'weve',4
b'issue',1
b'Finally',3
b'demand',1
b'heeded',1
b'their',17
b'business',4
b'world\xe2\x80\x94all',1
b'spirit',3
b'coverage',2
b'college',3
b'how',3
b'promise',1
b'develop',2
b'community',4
b'policies',1
b'charge',1
b'protective',1
b'ballistic',1
b'The',12
b'nomination',1
b'rare',2
b'Another',1
b'providing',1
b'defense',2
b'masters',1
b'Danny',1
b'important',1
b'including',2
b'war',4
b'world\xe2\x80\x94friend',1
b'reason',1
b'done',3
b'implement',1
b'Interstate',1
b'expanded',1
b'rights',4
b'present',1
b'current',3
b'positive',1
b'lay',1
b'radical',1
b'Protecting',1
b'fast',2
b'shared',1
b'dreaming',1
b'highpaying',1
b'repeal',1
b'Onethird',1
b'legal',2
b'remind',1
b'approve',2
b'networks',1
b'increased',1
b'divided',1
b'manufacturing',1
b'year',9
b'battling',1
b'deserve',2
b'may',1
b'mistakes',2
b'Crime',2
b'off',2
b'administration',4
b'laid',1
b'are',37
b'upon',2
b'chain',1
b'same',6
b'USA',1
b'costs',4
b'is\xe2\x80\x94division',1
b'pressing',1
b'safely',1
b'wages',4
b'southern',1
b'Food',1
b'corruption',1
b'cooperation',1
b'both',4
b'together',4
b'Merriweather',1
b'uphold',1
b'Baltimore',1
b'behind',2
b'meet',1
b'fair',5
b'faiths',1
b'expect',2
b'private',3
b'rebuilt',1
b'At',4
b'network',1
b'communities',2
b'towards',1
b'jobs',9
b'rule',3
b'Minister',1
b'harmony',1
b'Pacific\xe2\x80\x94to',1
b'Republican',2
b'Federal',1
b'goals',2
b'large',2
b'say',1
b'border',2
b'Secondly',1
b'sophomore',1
b'Pentagon',1
b'surge',1
b'military',5
b'anniversary',2
b'soon',1
b'whose',1
b'clean',2
b'loved',3
b'well',2
b'four',1
b'uniform',2
b'globe',1
b'defeated',1
b'millions',5
b'economic',1
b'Center',1
b'unemployed',1
b'Ninetyfour',1
b'Intel',1
b'promised',2
b'unbroken',1
b'countries',4
b'husband',1
b'devotion',1
b'foe\xe2\x80\x94will',1
b'expected',1
b'hands',1
b'what',4
b'911',1
b'Australia',1
b'Matt',1
b'unsustainable',1
b'Detective',1
b'found',1
b'small',2
b'tragic',1
b'honestly',1
b'campaign',1
b'think',1
b'victims',2
b'Government',6
b'forms',1
b'entire',1
b'two',4
b'wedge',1
b'destroy',1
b'here',2
b'streets',1
b'San',1
b'By',1
b'chorus',2
b'2016',1
b'marketplace',1
b'strength',1
b'council',1
b'precious',1
b'Millions',1
b'pay',2
b'empowered',1
b'rates',1
b'billions',6
b'grow',3
b'bless',2
b'Very',1
b'Canada',2
b'General',2
b'fought',2
b'others',2
b'Megans',4
b'4000',1
b'partners',1
b'9',1
b'which',2
b'wellbeing',1
b'woman',2
b'interests',3
b'Deputy',1
b'food',1
b'wear',1
b'advice',1
b'renewal',2
b'inventors',1
b'list',1
b'faith',1
b'approval',1
b'is',58
b'drugs',3
b'Yet',1
b'families\xe2\x80\x94enter',1
b'eternity',1
b'fights',1
b'credit',1
b'disadvantaged',1
b'guide',1
b'Sprint',1
b'people',15
b'mark',1
b'rebellion',1
b'So',2
b'greatly',1
b'Have',1
b'against\xe2\x80\x94the',1
b'hire',1
b'drive',2
b'use',2
b'His',1
b'East',2
b'again',2
b'safety',1
b'past',6
b'badly',2
b'imploding',1
b'half',1
b'November',1
b'should',12
b'He',2
b'old',3
b'NATO',2
b'graduate',1
b'eluded',1
b'NAFTA',1
b'Speaker',1
b'But',14
b'destiny',1
b'healing',1
b'All',1
b'blinded',1
b'advances',1
b'Judge',1
b'missile',1
b'Presidents',1
b'very',15
b'2001',1
b'our',108
b'strongly',2
b'said',4
b'no',5
b'receiving',1
b'recent',1
b'global',1
b'wonderful',1
b'reforming',1
b'really',1
b'treatment',1
b'harm',1
b'truth',1
b'Graham',1
b'States',11
b'has',13
b'ago',1
b'outdated',1
b'forgotten',1
b'us',19
b'Obamacare',5
b'Think',1
b'Senior',1
b'cost',2
b'an',16
b'respect',4
b'Bevin',1
b'safer',1
b'seize',1
b'totally',1
b'issued',1
b'dreams',5
b'prosper',1
b'proud',1
b'symbol',1
b'Theyre',1
b'stir',1
b'restraints',1
b'price',3
b'fighting',1
b'conditions',2
b'daughters',1
b'bringing',1
b'vital',2
b'core',1
b'beliefs',1
b'executive',1
b'much',8
b'wants',1
b'demolish',1
b'American',33
b'his',10
b'system',7
b'Currently',1
b'railways',1
b'started',1
b'following',1
b'too',6
b'record',3
b'Theres',1
b'FDA',1
b'message',2
b'spoke',2
b'it\xe2\x80\x94that',1
b'yourselves',1
b'promises',3
b'want',9
b'mandates',1
b'savings',1
b'capital',1
b'recovery',1
b'countless',1
b'Also',1
b'about',2
b'System',1
b'On',3
b'chosen',1
b'terrorismrelated',1
b'religious',1
b'power',1
b'path',2
b'basic',1
b'quiet',2
b'deeply',1
b'citizens',11
b'tools',1
b'highest',1
b'Academy',1
b'Trade',2
b'course',1
b'also',8
b'truly',3
b'Laughter',4
b'compete',1
b'joining',1
b'asking',6
b'Sitting',1
b'century',1
b'willing',1
b'high',5
b'grasp',1
b'stands',1
b'taxes',1
b'themselves',1
b'preexisting',1
b'instead',1
b'blessed',2
b'provide',4
b'burdensome',1
b'entry',1
b'Eisenhower',1
b'lobbying',1
b'rate',5
b'lifetime',2
b'Mr',2
b'years',7
b'Kentucky',1
b'special',1
b'son',1
b'once',2
b'budget',2
b'time',11
b'approximately',1
b'cannot',3
b'peace',3
b'ugly',1
b'deliver',2
b'integrity',1
b'forged',1
b'1876',1
b'cure',1
b'bring',4
b'sons',1
b'action',1
b'field',1
b'making',1
b'based',2
b'Governor',1
b'History',1
b'dismantle',1
b'meritbased',2
b'crucial',1
b'open',1
b'seen',3
b'threats',1
b'bleed',1
b'Dakota',1
b'veterans',3
b'vast',1
b'beautiful',1
b'wonders',1
b'be',28
b'asked',2
b'voices',1
b'attacks',2
b'counties',1
b'mothers',2
b'nonmilitary',1
b'wonder',1
b'freedom',3
b'playing',1
b'massive',1
b'require',2
b'inherited',2
b'ship',2
b'sequester',1
b'rebuilds',1
b'William',1
b'wars',2
b'hard',1
b'hiring',1
b'honor',2
b'Fiat',1
b'spread',1
b'She',1
b'highly',1
b'United',12
b'depresses',1
b'VOICE',1
b'even',6
b'Chrysler',1
b'promote',1
b'began',1
b'Crowley',1
b'told',2
b'More',1
b'Mandating',1
b'a',92
b'Governmentapproved',1
b'division',1
b'telephone',1
b'embrace',1
b'whether',1
b'reforms',2
b'D',1
b'when',7
b'TransPacific',1
b'imposed',1
b'respects',1
b'program',3
b'bravery',1
b'reform',2
b'5',2
b'formed',1
b'inspiration',1
b'ban',2
b'victories',1
b'Neil',1
b'6',2
b'thrive',1
b'neighbors',2
b'outline',1
b'unanimously',1
b'illness',1
b'working',3
b'humanitarian',1
b'trivial',1
b'fact',3
b'many',12
b'deportations',1
b'Davis',3
b'free',5
b'wide',1
b'800',1
b'in',73
b'come',4
b'leadership',1
b'Scalia',2
b'up',5
b'Alexander',1
b'womens',1
b'17yearold',1
b'addicted',1
b'kept',1
b'possibilities',1
b'ones',5
b'funds',1
b'example',1
b'pride',1
b'project',1
b'magnet',1
b'True',1
b'strong',3
b'transition',1
b'why',2
b'Medicaid',1
b'warrior',1
b'Americas',2
b'replace',1
b'opposite',1
b'celebrate',3
b'charter',1
b'weeks',1
b'good',5
b'praying',1
b'passes',1
b'daring',1
b'immigration',7
b'automatic',1
b'cant',1
b'can',11
b'announced',1
b'America',27
b'Chicago',2
b'living',1
b'longterm',1
b'struggled',1
b'Month',1
b'cemeteries',1
b'against\xe2\x80\x94not',1
b'steps',2
b'leaving',2
b'mistreated',1
b'friends',6
b'direct',2
b'Governors',1
b'paid',1
b'away',1
b'Prime',1
b'prison',1
b'wanted',2
b'wall',1
b'Bell',1
b'Because',1
b'bold',1
b'States\xe2\x80\x94financed',1
b'world',13
b'you',23
b'tariffs',1
b'amounts',1
